Vardas              Pavarde             Galutinis(vid.)     
Vardas1             Pavarde1            5.92              
Vardas2             Pavarde2            6.8               
Vardas3             Pavarde3            6.04              
Vardas4             Pavarde4            8.32              
Vardas5             Pavarde5            5.12              
Vardas6             Pavarde6            7.6               
Vardas7             Pavarde7            4.48              
Vardas8             Pavarde8            5.72              
Vardas9             Pavarde9            2.2               
Vardas10            Pavarde10           2.96              
Vardas11            Pavarde11           6.16              
Vardas12            Pavarde12           6.32              
Vardas13            Pavarde13           5.16              
Vardas14            Pavarde14           7.72              
Vardas15            Pavarde15           8                 
Vardas16            Pavarde16           4.2               
Vardas17            Pavarde17           3.4               
Vardas18            Pavarde18           4.36              
Vardas19            Pavarde19           2.44              
Vardas20            Pavarde20           8.4               
Vardas21            Pavarde21           3.52              
Vardas22            Pavarde22           6.92              
Vardas23            Pavarde23           4.96              
Vardas24            Pavarde24           8.32              
Vardas25            Pavarde25           6.24              
Vardas26            Pavarde26           6.08              
Vardas27            Pavarde27           7.56              
Vardas28            Pavarde28           2.28              
Vardas29            Pavarde29           6.44              
Vardas30            Pavarde30           6.6               
Vardas31            Pavarde31           7.04              
Vardas32            Pavarde32           7.36              
Vardas33            Pavarde33           3.76              
Vardas34            Pavarde34           5.2               
Vardas35            Pavarde35           7.48              
Vardas36            Pavarde36           7.72              
Vardas37            Pavarde37           7.2               
Vardas38            Pavarde38           7.68              
Vardas39            Pavarde39           5.24              
Vardas40            Pavarde40           4.08              
Vardas41            Pavarde41           8.04              
Vardas42            Pavarde42           2.24              
Vardas43            Pavarde43           5.72              
Vardas44            Pavarde44           6.6               
Vardas45            Pavarde45           5.24              
Vardas46            Pavarde46           3.08              
Vardas47            Pavarde47           2.12              
Vardas48            Pavarde48           3.12              
Vardas49            Pavarde49           8.2               
Vardas50            Pavarde50           2.68              
Vardas51            Pavarde51           6.64              
Vardas52            Pavarde52           5                 
Vardas53            Pavarde53           3.72              
Vardas54            Pavarde54           3.72              
Vardas55            Pavarde55           5.4               
Vardas56            Pavarde56           7.56              
Vardas57            Pavarde57           4.92              
Vardas58            Pavarde58           4.84              
Vardas59            Pavarde59           4.88              
Vardas60            Pavarde60           4.48              
Vardas61            Pavarde61           3.28              
Vardas62            Pavarde62           5.48              
Vardas63            Pavarde63           6.16              
Vardas64            Pavarde64           5.44              
Vardas65            Pavarde65           4.68              
Vardas66            Pavarde66           6.44              
Vardas67            Pavarde67           8.24              
Vardas68            Pavarde68           8.36              
Vardas69            Pavarde69           7.4               
Vardas70            Pavarde70           8.4               
Vardas71            Pavarde71           3.4               
Vardas72            Pavarde72           3.72              
Vardas73            Pavarde73           7.72              
Vardas74            Pavarde74           3.68              
Vardas75            Pavarde75           7.32              
Vardas76            Pavarde76           5.04              
Vardas77            Pavarde77           3.36              
Vardas78            Pavarde78           5.8               
Vardas79            Pavarde79           8.56              
Vardas80            Pavarde80           6.4               
Vardas81            Pavarde81           8.4               
Vardas82            Pavarde82           5.4               
Vardas83            Pavarde83           7.36              
Vardas84            Pavarde84           6.08              
Vardas85            Pavarde85           5.12              
Vardas86            Pavarde86           6.52              
Vardas87            Pavarde87           8.04              
Vardas88            Pavarde88           5                 
Vardas89            Pavarde89           3.48              
Vardas90            Pavarde90           3.52              
Vardas91            Pavarde91           6.08              
Vardas92            Pavarde92           7.44              
Vardas93            Pavarde93           4.32              
Vardas94            Pavarde94           5.72              
Vardas95            Pavarde95           7.44              
Vardas96            Pavarde96           5.52              
Vardas97            Pavarde97           5.2               
Vardas98            Pavarde98           8.56              
Vardas99            Pavarde99           8.2               
Vardas100           Pavarde100          7.24              
Vardas101           Pavarde101          5.52              
Vardas102           Pavarde102          3.56              
Vardas103           Pavarde103          4.96              
Vardas104           Pavarde104          3.2               
Vardas105           Pavarde105          2.04              
Vardas106           Pavarde106          4.28              
